,word,freq.x,freq.y,percent.x,percent.y,keyness,p.value,log.ratio,x.vs.y
382,auto,23,15,0.02,0.00,28.88,0.00000,2.58,x>y
732,by,250,1386,0.22,0.31,28.87,0.00000,0.51,x<y
5358,tpp,2,91,0.00,0.02,28.68,0.00000,3.55,x<y
2821,islamic,1,79,0.00,0.02,28.58,0.00000,4.34,x<y
205,aluminum,9,0,0.01,0.00,28.57,0.00000,6.13,x>y
291,apprenticeship,9,0,0.01,0.00,28.57,0.00000,6.13,x>y
449,baptist,9,0,0.01,0.00,28.57,0.00000,6.13,x>y
553,billionaires,9,0,0.01,0.00,28.57,0.00000,6.13,x>y
827,cents,9,0,0.01,0.00,28.57,0.00000,6.13,x>y
2198,frustrated,9,0,0.01,0.00,28.57,0.00000,6.13,x>y
2325,grandfather,9,0,0.01,0.00,28.57,0.00000,6.13,x>y
2348,gridlock,9,0,0.01,0.00,28.57,0.00000,6.13,x>y
3065,lgbt,9,0,0.01,0.00,28.57,0.00000,6.13,x>y
3811,penny,9,0,0.01,0.00,28.57,0.00000,6.13,x>y
4457,retired,9,0,0.01,0.00,28.57,0.00000,6.13,x>y
5403,trickle,9,0,0.01,0.00,28.57,0.00000,6.13,x>y
5046,stuff,3,101,0.00,0.02,28.56,0.00000,3.11,x<y
2724,infrastructure,41,49,0.04,0.01,28.50,0.00000,1.70,x>y
3138,loophole,11,1,0.01,0.00,28.49,0.00000,5.42,x>y
4241,reality,11,1,0.01,0.00,28.49,0.00000,5.42,x>y
